Image Name,Cluster Label
09003000.bmp,0
09003001.bmp,0
09003002.bmp,1
09003003.bmp,0
09003004.bmp,1
09003005.bmp,0
09003006.bmp,0
09003007.bmp,0
09003008.bmp,0
09003009.bmp,0
09003010.bmp,0
09003011.bmp,0
09003012.bmp,0
09003013.bmp,0
09003014.bmp,1
09003015.bmp,0
09004000.bmp,1
09004001.bmp,1
09004002.bmp,0
09004003.bmp,0
09004004.bmp,0
09004005.bmp,0
09004006.bmp,0
09004007.bmp,0
09004008.bmp,1
09004009.bmp,0
09004010.bmp,0
09004011.bmp,0
09004012.bmp,1
09004013.bmp,0
09004014.bmp,0
09004015.bmp,0
09005000.bmp,0
09005001.bmp,0
09005002.bmp,0
09005003.bmp,0
09005004.bmp,1
09005005.bmp,1
09005006.bmp,0
09005007.bmp,0
09005008.bmp,1
09005009.bmp,0
09005010.bmp,0
09005011.bmp,0
09005012.bmp,0
09005013.bmp,0
09005014.bmp,0
09005015.bmp,1
09006000.bmp,0
09006001.bmp,0
09006002.bmp,0
09006003.bmp,0
09006004.bmp,0
09006005.bmp,0
09006006.bmp,1
09006007.bmp,0
09006008.bmp,0
09006009.bmp,0
09006010.bmp,1
09006011.bmp,1
09006012.bmp,1
09006013.bmp,1
09006014.bmp,0
09006015.bmp,1
09007000.bmp,0
09007001.bmp,1
09007002.bmp,0
09007003.bmp,1
09007004.bmp,0
09007005.bmp,0
09007006.bmp,1
09007007.bmp,0
09007008.bmp,1
09007009.bmp,0
09007010.bmp,0
09007011.bmp,1
09007012.bmp,2
09007013.bmp,1
09007014.bmp,1
09007015.bmp,0
10000000.bmp,0
10000001.bmp,1
10000002.bmp,1
10000003.bmp,1
10000004.bmp,0
10000005.bmp,0
10000006.bmp,0
10000007.bmp,0
10000008.bmp,0
10000009.bmp,1
10000010.bmp,1
10000011.bmp,1
10000012.bmp,1
10000013.bmp,1
10000014.bmp,1
10000015.bmp,1
10001000.bmp,1
10001001.bmp,1
10001002.bmp,1
10001003.bmp,0
10001004.bmp,1
10001005.bmp,1
10001006.bmp,1
10001007.bmp,1
10001008.bmp,2
10001009.bmp,1
10001010.bmp,1
10001011.bmp,1
10001012.bmp,1
10001013.bmp,1
10001014.bmp,1
10001015.bmp,1
10002000.bmp,2
10002001.bmp,1
10002002.bmp,1
10002003.bmp,1
10002004.bmp,1
10002005.bmp,1
10002006.bmp,1
10002007.bmp,1
10002008.bmp,1
10002009.bmp,1
10002010.bmp,1
10002011.bmp,1
10002012.bmp,1
10002013.bmp,1
10002014.bmp,1
10002015.bmp,1
10003000.bmp,2
10003001.bmp,2
10003002.bmp,1
10003003.bmp,1
10003004.bmp,1
10003005.bmp,0
10003006.bmp,1
10003007.bmp,1
10003008.bmp,2
10003009.bmp,1
10003010.bmp,0
10003011.bmp,1
10003012.bmp,1
10003013.bmp,1
10003014.bmp,1
10003015.bmp,1
11000000.bmp,1
11000001.bmp,1
11000002.bmp,1
11000003.bmp,1
11000004.bmp,1
11000005.bmp,1
11000006.bmp,1
11000007.bmp,1
11000008.bmp,1
11000009.bmp,1
11000010.bmp,1
11000011.bmp,1
11000012.bmp,1
11000013.bmp,0
11000014.bmp,0
11000015.bmp,0
11001000.bmp,1
11001001.bmp,1
11001002.bmp,1
11001003.bmp,1
11001004.bmp,1
11001005.bmp,1
11001006.bmp,1
11001007.bmp,0
11001008.bmp,0
11001009.bmp,1
11001010.bmp,1
11001011.bmp,1
11001012.bmp,1
11001013.bmp,1
11001014.bmp,1
11001015.bmp,1
11002000.bmp,1
11002001.bmp,1
11002002.bmp,2
11002003.bmp,1
11002004.bmp,2
11002005.bmp,1
11002006.bmp,2
11002007.bmp,1
11002008.bmp,0
11002009.bmp,1
11002010.bmp,0
11002011.bmp,1
11002012.bmp,1
11002013.bmp,1
11002014.bmp,1
11002015.bmp,1
11003000.bmp,0
11003001.bmp,0
11003002.bmp,1
11003003.bmp,1
11003004.bmp,1
11003005.bmp,1
11003006.bmp,1
11003007.bmp,1
11003008.bmp,1
11003009.bmp,1
11003010.bmp,1
11003011.bmp,1
11003012.bmp,1
11003013.bmp,1
11003014.bmp,2
11003015.bmp,2
11004000.bmp,2
11004001.bmp,1
11004002.bmp,1
11004003.bmp,1
11004004.bmp,1
11004005.bmp,1
11004006.bmp,1
11004007.bmp,1
11004008.bmp,1
11004009.bmp,1
11004010.bmp,1
11004011.bmp,1
11004012.bmp,1
11004013.bmp,1
11004014.bmp,1
11004015.bmp,2
11005000.bmp,0
11005001.bmp,0
11005002.bmp,2
11005003.bmp,2
11005004.bmp,0
11005005.bmp,2
11005006.bmp,2
11005007.bmp,2
11005008.bmp,2
11005009.bmp,2
11005010.bmp,2
11005011.bmp,2
11005012.bmp,0
11005013.bmp,0
11005014.bmp,2
11005015.bmp,3
11006000.bmp,0
11006001.bmp,0
11006002.bmp,2
11006003.bmp,2
11006004.bmp,2
11006005.bmp,0
11006006.bmp,0
11006007.bmp,1
11006008.bmp,2
11006009.bmp,2
11006010.bmp,0
11006011.bmp,0
11006012.bmp,0
11006013.bmp,0
11006014.bmp,0
11006015.bmp,0
11007000.bmp,0
11007001.bmp,2
11007002.bmp,2
11007003.bmp,1
11007004.bmp,2
11007005.bmp,2
11007006.bmp,2
11007007.bmp,2
11007008.bmp,2
11007009.bmp,0
11007010.bmp,2
11007011.bmp,2
11007012.bmp,0
11007013.bmp,2
11007014.bmp,0
11007015.bmp,2
12000000.bmp,2
12000001.bmp,2
12000002.bmp,2
